Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Овчаренко,Людмила,Степанівна,female,1942-07-12,Локсмайстер,місто Зіньків,"площа Косвена, буд. 536, Мелітополь, 86466",682 17 77,milena78@example.org
Бабич,Тарас,Веніяминович,male,1969-02-09,Євнух,село Коростень,"узвіз Лінія 48-ма, буд. 76 кв. 655, Кілія, 34540",+380 (65) 279-35-64,vpushkar@example.com
Бездітко,Роксолана,Степанівна,female,1974-10-08,Хімік,місто Южноукраїнськ,"вулиця Косий, буд. 61, Львів, 72973",+380 86 711-21-97,taras97@example.net
Сомко,Варфоломій,Єфремович,male,1990-08-05,Акушер,хутір Зборів,"узвіз П'ята, буд. 25 кв. 70, Гуляйполе, 10526",612 96 73,adamnehoda@example.net
Рябченко,Єлисей,Геннадійович,male,1954-04-11,Водій,місто Чортків,"шосе Лінія 55-та, буд. 74, Галич, 15323",010 972-89-89,chumachenkosymon@example.org
Гавриш,Клавдія,Артемівна,female,1943-12-02,Геолог,селище Лозова ,"проспект Лучиста, буд. 5 кв. 29, Тростянець, 69556",965-42-95,volodymyraadamchuk@example.com
Арсенич,Дан,Зиновійович,male,1943-05-24,Палеонтолог,хутір Снігурівка,"площа Вишнева, буд. 3, Кам'янець-Подільський, 63317",429-19-25,liliiakanivets@example.net
Дурдинець,Марія,Богданівна,female,1961-01-29,Кушнір,місто Саки ,"провулок Глазунова, буд. 599, Волноваха, 70806",028 263 99 20,shcherbansviatoslav@example.net
Вдовиченко,Ярослав,Макарович,male,2001-11-01,Клавішник,хутір Бобровиця,"сквер Історія Футболу, буд. 403, Олевськ, 21924",+380 11 822-07-99,druban@example.org
Лесик,Володимира,Климентівна,female,1964-07-12,Юрист,хутір Джанкой,"парк Свободи, буд. 3, Яворів, 58055",+380 (14) 322-07-30,les12@example.com
Проценко,Софія,Германівна,female,2005-05-20,Реставратор,хутір Донецьк,"площа Восьмого березня 3-й, буд. 7, Ходорів, 71563",+380 (63) 993-86-98,illia32@example.com
Алексюк,Іван,Антонович,male,2003-10-09,Нотаріус,село Олександрія,"провулок Магнітогорський 3-й, буд. 709 кв. 96, Ірпінь, 28760",254-44-79,iandrusenko@example.org
Ващенко,Левко,Яковович,male,1952-08-31,Прокурор,хутір Миколаїв,"парк Донцова Дмитра, буд. 124 кв. 848, Рені, 09924",+380 (37) 590-34-94,svitlanakorbut@example.net
Якименко,Левко,Тарасович,male,1986-07-12,Патологоанатом,хутір Алупка,"парк Лютневий 2-й, буд. 845 кв. 15, Бердянськ, 77476",+380 (36) 969-29-79,ttymchenko@example.com
Данченко,Емілія,Ігнатівна,female,1980-05-08,Промисловець,хутір Нова Одеса,"вулиця Морехідна, буд. 84, Калинівка , 02344",024 093 86 11,volodymyrnosachenko@example.com
Бандура,Володимира,Юхимівна,female,1983-10-18,Секретар,село Кагарлик,"парк Камишова, буд. 2, Луцьк, 33934",+380 74 570 27 66,lazarenkopanteleimon@example.net
Гаврюшенко,Юстина,Захарівна,female,1941-03-20,Кінолог,хутір Знам'янка,"вулиця Олександра Невського, буд. 154, Міусинськ, 88767",+380 33 704-83-24,liliiasirobaba@example.org
Гупало,Олена,Русланівна,female,1997-07-10,Машиніст,хутір Ходорів,"парк Штабний, буд. 555 кв. 0, Шахтарськ, 55126",564 28 29,onysym49@example.net
Василечко,Артем,Олесьович,male,1956-07-16,Електрик,місто Новодністровськ,"сквер Леваневського, буд. 661, Саки , 24654",165-74-34,iaremakorsun@example.org
Бабиченко,Олесь,Зиновійович,male,1977-06-23,Вчитель,село Світловодськ,"парк Василя Кандинського 1-й, буд. 7 кв. 5, Лисичанськ, 93702",+380 87 370-92-38,mmykhailiuk@example.org
Ященко,Аніта,Лесівна,female,1992-12-29,Електрослюсар,село Галич,"сквер Краснослобідський, буд. 06 кв. 6, Іловайськ, 17590",314 32 26,iaryna83@example.net
Павленко,Христина,Русланівна,female,1999-03-03,Гицель,селище Золотоноша,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 2, Полонне, 11486",003 603 88 15,liudmyla76@example.net
Ткач,Максим,Лукʼянович,male,1949-02-05,Флорист,селище Любомль,"вулиця Інглезі, буд. 125, Коростень, 05543",+380 05 276 55 91,sirkoievhen@example.com
Девдюк,Святослав,Федорович,male,1945-11-05,Юрист,хутір Городок,"провулок Студентський 1-й, буд. 454 кв. 5, Рогатин, 55303",708-75-43,zynovii94@example.org
Цимбалюк,Аврелій,Олексович,male,1972-12-27,Електротехнік,хутір Болехів,"проспект Яблочкіної, буд. 51, Біла Церква, 04319",+380 23 782 67 88,eishchenko@example.org
Ватаманюк,Устим,Єфремович,male,1988-05-30,Бізнесмен,місто Олександрівськ,"вулиця Вєтрова, буд. 985, Львів, 45932",092 885 53 18,bohdan12@example.org
Бабʼюк,Данна,Йосипівна,female,1956-08-11,Економіст,село Скалат,"шосе Лиманчик 2-й Лінія 9-та, буд. 641 кв. 26, Бориспіль, 29600",+380 (48) 435-88-14,mvernyhora@example.org
Абраменко,Варвара,Тарасівна,female,1981-03-20,Локсмайстер,хутір Радомишль,"проспект Сабанський, буд. 4, Новоазовськ, 29007",+380 82 805 91 94,mbezborodko@example.net
Андрійович,Олена,Романівна,female,1944-08-18,Провізор,хутір Рубіжне,"сквер 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 681, Канів, 07117",+380 15 956-06-80,qholoborodko@example.net
Девдюк,Сніжана,Вʼячеславівна,female,1982-10-05,Публіцист,селище Іршава,"парк Головківська, буд. 026 кв. 4, Берестечко, 75077",413-26-48,leontii58@example.com
Гунько,Мартин,Теодорович,male,1944-08-25,Гінеколог,хутір Таврійськ,"набережна Восьмого березня 8-й, буд. 32, Борзна, 83246",686 10 94,stanislav63@example.com
Опанасенко,Борислав,Назарович,male,1973-12-04,Геолог,село Ялта,"парк Астрономічний, буд. 758, Ужгород, 42966",026 345-99-88,zpoltavets@example.org
Андрощук,Олена,Панасівна,female,1963-10-16,Астроном,село Новий Калинів,"узвіз Селищний, буд. 219 кв. 251, Новоукраїнка, 63506",179-53-17,irena52@example.com
Артюшенко,Леонід,Семенович,male,1957-07-18,Круп'є,село Татарбунари,"сквер Селищний, буд. 8, Дрогобич, 41727",536-25-22,semeniushchenko@example.net
Товстоліс,Маруся,Максимівна,female,1980-09-28,Бізнесмен,селище Судак ,"парк Куяльницький міст, буд. 3 кв. 0, Деражня, 42423",+380 62 806-19-57,zhuravelprokhir@example.net
Тарасенко,Марко,Борисович,male,1970-01-02,Астроном,селище Луганськ,"шосе Чорноморський 9-й, буд. 743 кв. 4, Лозова , 62546",023 065 54 10,romanetsparmen@example.net
Єрченко,Дарина,Альбертівна,female,2001-03-28,Історик,село Новоазовськ,"вулиця Новоукраїнський, буд. 714, Турка, 75798",153 31 40,vkorsun@example.net
Юрчишин,Петро,Тимофійович,male,1967-07-16,Редактор,хутір Верхньодніпровськ,"проспект Собінова, буд. 1, Лутугине, 06046",+380 35 169-92-48,illianestaiko@example.org
Франко,Антон,Владиславович,male,1960-06-12,Електрослюсар,село Горішні Плавні,"узвіз Естонська, буд. 16, Шепетівка, 44480",+380 41 832-34-79,tymofii17@example.org
Єрмоленко,Алла,Панасівна,female,1967-12-26,Геофізик,хутір Зеленодольськ,"набережна Іванова 1-й, буд. 37, Збараж, 67897",032 436-55-36,halynavelychko@example.net
